Question,Label
Report the connection status of edge1 in the cxl-lab topology.,Monitoring
Report the connection status of host2 in the datacenter-lab topology.,Monitoring
Monitor the temperature for firewall1 within the spineleaf deployment.,Monitoring
Observe the network latency of firewall1 in the ospf-lab lab and share the values.,Monitoring
Provide the latest packet loss readings for leaf1 in mgmt-lab.,Monitoring
What is the current bandwidth on tor2 in our containerlab setup?,Monitoring
Monitor the jitter for spine1 within the lab2 deployment.,Monitoring
Observe the connection status of switch1 in the ospf-lab lab and share the values.,Monitoring
Report the throughput of server2 in the ring-topology topology.,Monitoring
Observe the bandwidth of vm1 in the bgp-lab lab and share the values.,Monitoring
Check the network latency on server2 in mgmt-lab.,Monitoring
Report the temperature of firewall1 in the lab2 topology.,Monitoring
Report the jitter of tor2 in the network-demo topology.,Monitoring
Report the temperature of host2 in the ring-topology topology.,Monitoring
Report the memory consumption of router2 in the topo1 topology.,Monitoring
What is the current bandwidth on edge1 in our containerlab setup?,Monitoring
Check the disk utilization on server2 in topo1.,Monitoring
What is the current temperature on server1 in our containerlab setup?,Monitoring
Observe the temperature of vm2 in the campus-lab lab and share the values.,Monitoring
Report the temperature of server1 in the star-topo topology.,Monitoring
Monitor the bandwidth for server1 within the cxl-lab deployment.,Monitoring
Report the network latency of tor2 in the topo1 topology.,Monitoring
Provide the latest throughput readings for switch1 in lab1.,Monitoring
Report the network latency of vm1 in the bgp-lab topology.,Monitoring
What is the current disk utilization on client2 in our containerlab setup?,Monitoring
What is the current disk utilization on vm2 in our containerlab setup?,Monitoring
Report the memory consumption of router2 in the campus-lab topology.,Monitoring
Provide the latest packet loss readings for vm2 in fullmesh.,Monitoring
What is the current throughput on host2 in our containerlab setup?,Monitoring
Check the packet loss on router1 in fullmesh.,Monitoring
Monitor the temperature for spine1 within the ring-topology deployment.,Monitoring
What is the current packet loss on leaf1 in our containerlab setup?,Monitoring
Check the interface error rates on server1 in training-topology.,Monitoring
Provide the latest jitter readings for tor2 in testlab.,Monitoring
Check the GPU utilization on host2 in campus-lab.,Monitoring
Monitor the CPU usage for edge1 within the datacenter-lab deployment.,Monitoring
What is the current CPU usage on firewall1 in our containerlab setup?,Monitoring
Monitor the network latency for host2 within the clab-topo deployment.,Monitoring
What is the current memory consumption on client1 in our containerlab setup?,Monitoring
Provide the latest temperature readings for tor1 in mgmt-lab.,Monitoring
Provide the latest jitter readings for router2 in star-topo.,Monitoring
Check the jitter on server2 in cluster1.,Monitoring
Check the bandwidth on host2 in network-demo.,Monitoring
Check the GPU utilization on router3 in testlab.,Monitoring
Report the memory consumption of spine1 in the ospf-lab topology.,Monitoring
Monitor the interface error rates for firewall1 within the fullmesh deployment.,Monitoring
Observe the packet loss of router2 in the datacenter-lab lab and share the values.,Monitoring
What is the current interface error rates on client2 in our containerlab setup?,Monitoring
Report the disk utilization of router3 in the evpn-lab topology.,Monitoring
Provide the latest temperature readings for vm1 in fullmesh.,Monitoring
What is the current packet loss on edge1 in our containerlab setup?,Monitoring
Report the CPU usage of firewall1 in the cxl-lab topology.,Monitoring
What is the current throughput on vm2 in our containerlab setup?,Monitoring
Check the packet loss on tor1 in mgmt-lab.,Monitoring
Observe the GPU utilization of router3 in the mgmt-lab lab and share the values.,Monitoring
Observe the temperature of router1 in the datacenter-lab lab and share the values.,Monitoring
Provide the latest network latency readings for router1 in ring-topology.,Monitoring
Report the throughput of router1 in the spineleaf topology.,Monitoring
Monitor the disk utilization for router1 within the campus-lab deployment.,Monitoring
Check the network latency on host2 in cxl-lab.,Monitoring
Observe the memory consumption of tor1 in the star-topo lab and share the values.,Monitoring
What is the current interface error rates on router3 in our containerlab setup?,Monitoring
Check the packet loss on host1 in datacenter-lab.,Monitoring
Provide the latest interface error rates readings for switch1 in ring-topology.,Monitoring
Report the connection status of core1 in the ospf-lab topology.,Monitoring
Monitor the throughput for tor2 within the bgp-lab deployment.,Monitoring
Provide the latest disk utilization readings for firewall1 in lab1.,Monitoring
What is the current CPU usage on spine1 in our containerlab setup?,Monitoring
Observe the bandwidth of vm1 in the mgmt-lab lab and share the values.,Monitoring
What is the current jitter on router2 in our containerlab setup?,Monitoring
Check the jitter on vm1 in datacenter-lab.,Monitoring
Check the memory consumption on vm2 in mgmt-lab.,Monitoring
Report the interface error rates of router3 in the bgp-lab topology.,Monitoring
Observe the connection status of host1 in the mgmt-lab lab and share the values.,Monitoring
Check the network latency on leaf1 in ring-topology.,Monitoring
Report the jitter of tor2 in the cxl-lab topology.,Monitoring
Observe the throughput of router1 in the lab1 lab and share the values.,Monitoring
Monitor the CPU usage for router1 within the bgp-lab deployment.,Monitoring
Observe the throughput of vm1 in the topo1 lab and share the values.,Monitoring
Observe the disk utilization of client2 in the network-demo lab and share the values.,Monitoring
Report the GPU utilization of tor1 in the clab-topo topology.,Monitoring
Check the memory consumption on router3 in lab1.,Monitoring
Provide the latest bandwidth readings for tor2 in ring-topology.,Monitoring
Observe the jitter of switch1 in the topo1 lab and share the values.,Monitoring
Provide the latest connection status readings for edge1 in training-topology.,Monitoring
Check the connection status on router2 in star-topo.,Monitoring
Provide the latest temperature readings for switch1 in training-topology.,Monitoring
What is the current connection status on switch2 in our containerlab setup?,Monitoring
Check the GPU utilization on router1 in datacenter-lab.,Monitoring
Check the disk utilization on host1 in fullmesh.,Monitoring
Observe the jitter of router1 in the evpn-lab lab and share the values.,Monitoring
What is the current GPU utilization on vm1 in our containerlab setup?,Monitoring
Monitor the temperature for client2 within the leafspine deployment.,Monitoring
Report the disk utilization of switch1 in the cxl-lab topology.,Monitoring
Provide the latest GPU utilization readings for tor2 in training-topology.,Monitoring
Observe the CPU usage of router2 in the ring-topology lab and share the values.,Monitoring
Report the GPU utilization of spine1 in the spineleaf topology.,Monitoring
Observe the connection status of edge1 in the spineleaf lab and share the values.,Monitoring
Report the connection status of switch1 in the ospf-lab topology.,Monitoring
Provide the latest memory consumption readings for switch1 in mgmt-lab.,Monitoring
Provide the latest CPU usage readings for router3 in training-topology.,Monitoring
Check the GPU utilization on firewall1 in topo1.,Monitoring
What is the current memory consumption on tor2 in our containerlab setup?,Monitoring
Observe the bandwidth of host1 in the campus-lab lab and share the values.,Monitoring
What is the current interface error rates on host1 in our containerlab setup?,Monitoring
Check the packet loss on server2 in mgmt-lab.,Monitoring
Monitor the disk utilization for core1 within the cluster1 deployment.,Monitoring
Report the memory consumption of vm2 in the cxl-lab topology.,Monitoring
Observe the GPU utilization of client2 in the cluster1 lab and share the values.,Monitoring
Monitor the packet loss for host1 within the testlab deployment.,Monitoring
Provide the latest interface error rates readings for vm2 in fullmesh.,Monitoring
Provide the latest jitter readings for router3 in training-topology.,Monitoring
Observe the GPU utilization of router1 in the lab2 lab and share the values.,Monitoring
Report the packet loss of tor1 in the training-topology topology.,Monitoring
Monitor the connection status for host2 within the mgmt-lab deployment.,Monitoring
Report the memory consumption of client2 in the campus-lab topology.,Monitoring
Check the connection status on tor1 in network-demo.,Monitoring
What is the current network latency on client2 in our containerlab setup?,Monitoring
Monitor the jitter for server2 within the lab1 deployment.,Monitoring
Observe the packet loss of leaf1 in the lab1 lab and share the values.,Monitoring
Report the memory consumption of spine1 in the network-demo topology.,Monitoring
Monitor the network latency for client1 within the bgp-lab deployment.,Monitoring
Check the temperature on client2 in campus-lab.,Monitoring
Check the network latency on edge1 in mgmt-lab.,Monitoring
Monitor the temperature for tor1 within the ospf-lab deployment.,Monitoring
What is the current CPU usage on tor2 in our containerlab setup?,Monitoring
Report the throughput of vm2 in the cxl-lab topology.,Monitoring
Observe the CPU usage of spine1 in the campus-lab lab and share the values.,Monitoring
Report the jitter of spine1 in the ospf-lab topology.,Monitoring
Observe the interface error rates of host2 in the testlab lab and share the values.,Monitoring
Monitor the network latency for client1 within the lab1 deployment.,Monitoring
Check the throughput on firewall1 in ospf-lab.,Monitoring
Observe the connection status of switch2 in the lab1 lab and share the values.,Monitoring
Provide the latest throughput readings for vm1 in ospf-lab.,Monitoring
Monitor the GPU utilization for tor2 within the evpn-lab deployment.,Monitoring
Report the connection status of router2 in the ospf-lab topology.,Monitoring
Provide the latest interface error rates readings for host1 in star-topo.,Monitoring
Monitor the throughput for core1 within the spineleaf deployment.,Monitoring
Monitor the bandwidth for leaf1 within the fullmesh deployment.,Monitoring
Observe the packet loss of host1 in the ring-topology lab and share the values.,Monitoring
Provide the latest connection status readings for edge1 in datacenter-lab.,Monitoring
Report the temperature of host2 in the network-demo topology.,Monitoring
Check the network latency on vm2 in mgmt-lab.,Monitoring
Monitor the interface error rates for router2 within the fullmesh deployment.,Monitoring
Report the throughput of router2 in the ospf-lab topology.,Monitoring
Monitor the interface error rates for vm2 within the spineleaf deployment.,Monitoring
What is the current temperature on router2 in our containerlab setup?,Monitoring
Observe the GPU utilization of host2 in the fullmesh lab and share the values.,Monitoring
Observe the network latency of server2 in the network-demo lab and share the values.,Monitoring
Provide the latest interface error rates readings for edge1 in leafspine.,Monitoring
Monitor the network latency for client2 within the cluster1 deployment.,Monitoring
Check the CPU usage on switch2 in datacenter-lab.,Monitoring
Provide the latest bandwidth readings for server2 in testlab.,Monitoring
Monitor the disk utilization for router2 within the bgp-lab deployment.,Monitoring
Monitor the bandwidth for router3 within the mgmt-lab deployment.,Monitoring
Provide the latest packet loss readings for router2 in campus-lab.,Monitoring
Report the packet loss of router3 in the mgmt-lab topology.,Monitoring
Observe the GPU utilization of vm1 in the datacenter-lab lab and share the values.,Monitoring
Monitor the interface error rates for server2 within the cxl-lab deployment.,Monitoring
What is the current CPU usage on client1 in our containerlab setup?,Monitoring
Observe the connection status of spine1 in the bgp-lab lab and share the values.,Monitoring
Provide the latest CPU usage readings for core1 in testlab.,Monitoring
Monitor the jitter for core1 within the spineleaf deployment.,Monitoring
Observe the CPU usage of router2 in the lab2 lab and share the values.,Monitoring
Report the interface error rates of router2 in the clab-topo topology.,Monitoring
Report the network latency of firewall1 in the datacenter-lab topology.,Monitoring
Observe the interface error rates of leaf1 in the campus-lab lab and share the values.,Monitoring
Provide the latest GPU utilization readings for tor1 in ring-topology.,Monitoring
Monitor the disk utilization for server1 within the leafspine deployment.,Monitoring
Check the GPU utilization on host2 in lab2.,Monitoring
Observe the jitter of firewall1 in the topo1 lab and share the values.,Monitoring
Observe the bandwidth of firewall1 in the network-demo lab and share the values.,Monitoring
Report the network latency of router2 in the star-topo topology.,Monitoring
Monitor the memory consumption for firewall1 within the star-topo deployment.,Monitoring
Observe the interface error rates of firewall1 in the spineleaf lab and share the values.,Monitoring
Observe the memory consumption of firewall1 in the star-topo lab and share the values.,Monitoring
Check the memory consumption on host2 in topo1.,Monitoring
Monitor the CPU usage for edge1 within the cluster1 deployment.,Monitoring
What is the current network latency on server1 in our containerlab setup?,Monitoring
Report the temperature of client2 in the clab-topo topology.,Monitoring
Report the bandwidth of core1 in the topo1 topology.,Monitoring
Provide the latest disk utilization readings for server1 in evpn-lab.,Monitoring
Provide the latest memory consumption readings for edge1 in campus-lab.,Monitoring
Provide the latest packet loss readings for vm1 in bgp-lab.,Monitoring
Observe the GPU utilization of router2 in the training-topology lab and share the values.,Monitoring
What is the current throughput on router3 in our containerlab setup?,Monitoring
Provide the latest connection status readings for edge1 in spineleaf.,Monitoring
What is the current packet loss on router2 in our containerlab setup?,Monitoring
Observe the jitter of vm1 in the fullmesh lab and share the values.,Monitoring
Observe the disk utilization of server1 in the datacenter-lab lab and share the values.,Monitoring
Observe the GPU utilization of client2 in the spineleaf lab and share the values.,Monitoring
Monitor the memory consumption for firewall1 within the mgmt-lab deployment.,Monitoring
Report the disk utilization of host2 in the cluster1 topology.,Monitoring
Report the network latency of firewall1 in the topo1 topology.,Monitoring
Monitor the jitter for vm2 within the bgp-lab deployment.,Monitoring
Report the throughput of vm2 in the ospf-lab topology.,Monitoring
Monitor the memory consumption for router1 within the bgp-lab deployment.,Monitoring
What is the current interface error rates on server1 in our containerlab setup?,Monitoring
What is the current disk utilization on leaf1 in our containerlab setup?,Monitoring
Report the temperature of core1 in the leafspine topology.,Monitoring
Monitor the GPU utilization for server1 within the mgmt-lab deployment.,Monitoring
Observe the packet loss of client1 in the ring-topology lab and share the values.,Monitoring
Monitor the memory consumption for server2 within the network-demo deployment.,Monitoring
What is the current disk utilization on switch2 in our containerlab setup?,Monitoring
Observe the jitter of edge1 in the topo1 lab and share the values.,Monitoring
Monitor the temperature for host1 within the testlab deployment.,Monitoring
Report the connection status of vm1 in the bgp-lab topology.,Monitoring
Observe the interface error rates of host2 in the clab-topo lab and share the values.,Monitoring
Provide the latest throughput readings for tor2 in datacenter-lab.,Monitoring
Check the temperature on tor1 in lab1.,Monitoring
Monitor the CPU usage for client1 within the cxl-lab deployment.,Monitoring
Report the temperature of host2 in the spineleaf topology.,Monitoring
Report the packet loss of vm1 in the cluster1 topology.,Monitoring
Provide the latest connection status readings for router1 in mgmt-lab.,Monitoring
What is the current bandwidth on server1 in our containerlab setup?,Monitoring
What is the current GPU utilization on router2 in our containerlab setup?,Monitoring
Report the connection status of server1 in the training-topology topology.,Monitoring
Observe the throughput of vm2 in the spineleaf lab and share the values.,Monitoring
Observe the bandwidth of server1 in the spineleaf lab and share the values.,Monitoring
Observe the connection status of server2 in the spineleaf lab and share the values.,Monitoring
Report the jitter of firewall1 in the leafspine topology.,Monitoring
Check the connection status on leaf1 in mgmt-lab.,Monitoring
Observe the disk utilization of core1 in the cluster1 lab and share the values.,Monitoring
Monitor the memory consumption for client2 within the lab2 deployment.,Monitoring
Report the jitter of host2 in the topo1 topology.,Monitoring
Observe the connection status of switch1 in the leafspine lab and share the values.,Monitoring
Provide the latest temperature readings for host1 in leafspine.,Monitoring
Observe the temperature of client2 in the spineleaf lab and share the values.,Monitoring
Check the bandwidth on router1 in fullmesh.,Monitoring
Check the packet loss on vm1 in ring-topology.,Monitoring
Provide the latest disk utilization readings for tor2 in star-topo.,Monitoring
Observe the packet loss of router3 in the training-topology lab and share the values.,Monitoring
Observe the throughput of host1 in the datacenter-lab lab and share the values.,Monitoring
Monitor the disk utilization for router3 within the topo1 deployment.,Monitoring
Monitor the CPU usage for leaf1 within the evpn-lab deployment.,Monitoring
Provide the latest network latency readings for core1 in evpn-lab.,Monitoring
Report the jitter of tor2 in the lab2 topology.,Monitoring
Check the interface error rates on leaf1 in star-topo.,Monitoring
Provide the latest throughput readings for firewall1 in bgp-lab.,Monitoring
Monitor the packet loss for router1 within the training-topology deployment.,Monitoring
Observe the connection status of router3 in the topo1 lab and share the values.,Monitoring
Monitor the interface error rates for edge1 within the bgp-lab deployment.,Monitoring
Check the throughput on host1 in cxl-lab.,Monitoring
Monitor the packet loss for tor1 within the fullmesh deployment.,Monitoring
What is the current throughput on edge1 in our containerlab setup?,Monitoring
Report the disk utilization of leaf1 in the lab2 topology.,Monitoring
Observe the disk utilization of vm1 in the datacenter-lab lab and share the values.,Monitoring
Report the throughput of vm2 in the topo1 topology.,Monitoring
What is the current GPU utilization on client2 in our containerlab setup?,Monitoring
Check the disk utilization on router2 in leafspine.,Monitoring
Monitor the network latency for tor1 within the training-topology deployment.,Monitoring
Monitor the temperature for host2 within the star-topo deployment.,Monitoring
What is the current memory consumption on server2 in our containerlab setup?,Monitoring
Monitor the connection status for switch2 within the fullmesh deployment.,Monitoring
Check the interface error rates on tor1 in spineleaf.,Monitoring
Monitor the CPU usage for core1 within the clab-topo deployment.,Monitoring
Provide the latest disk utilization readings for vm1 in ring-topology.,Monitoring
Report the jitter of firewall1 in the training-topology topology.,Monitoring
Provide the latest temperature readings for core1 in campus-lab.,Monitoring
Check the packet loss on vm2 in training-topology.,Monitoring
Monitor the disk utilization for router1 within the evpn-lab deployment.,Monitoring
Check the network latency on firewall1 in clab-topo.,Monitoring
Check the bandwidth on host1 in cluster1.,Monitoring
What is the current temperature on spine1 in our containerlab setup?,Monitoring
Check the connection status on router2 in mgmt-lab.,Monitoring
Report the memory consumption of client1 in the star-topo topology.,Monitoring
Report the network latency of router1 in the clab-topo topology.,Monitoring
What is the current disk utilization on firewall1 in our containerlab setup?,Monitoring
Check the GPU utilization on client2 in spineleaf.,Monitoring
Provide the latest temperature readings for server2 in ospf-lab.,Monitoring
Check the temperature on server1 in datacenter-lab.,Monitoring
Provide the latest network latency readings for router1 in ring-topology.,Monitoring
Check the memory consumption on core1 in datacenter-lab.,Monitoring
Observe the CPU usage of core1 in the bgp-lab lab and share the values.,Monitoring
Provide the latest connection status readings for router3 in network-demo.,Monitoring
Report the memory consumption of router2 in the lab2 topology.,Monitoring
Monitor the bandwidth for vm2 within the bgp-lab deployment.,Monitoring
Provide the latest disk utilization readings for tor2 in testlab.,Monitoring
Observe the jitter of router3 in the training-topology lab and share the values.,Monitoring
Report the packet loss of server1 in the mgmt-lab topology.,Monitoring
Observe the bandwidth of switch2 in the clab-topo lab and share the values.,Monitoring
Monitor the memory consumption for router2 within the star-topo deployment.,Monitoring
Provide the latest memory consumption readings for edge1 in cxl-lab.,Monitoring
Report the GPU utilization of edge1 in the spineleaf topology.,Monitoring
Provide the latest temperature readings for client1 in datacenter-lab.,Monitoring
What is the current network latency on tor2 in our containerlab setup?,Monitoring
Monitor the disk utilization for leaf1 within the mgmt-lab deployment.,Monitoring
Provide the latest memory consumption readings for server1 in campus-lab.,Monitoring
Check the temperature on leaf1 in campus-lab.,Monitoring
Observe the bandwidth of tor2 in the testlab lab and share the values.,Monitoring
What is the current disk utilization on vm2 in our containerlab setup?,Monitoring
Check the CPU usage on router1 in clab-topo.,Monitoring
Report the memory consumption of router3 in the cluster1 topology.,Monitoring
Provide the latest temperature readings for tor2 in lab1.,Monitoring
Monitor the jitter for core1 within the bgp-lab deployment.,Monitoring
Report the CPU usage of edge1 in the leafspine topology.,Monitoring
Report the network latency of tor2 in the training-topology topology.,Monitoring
Report the memory consumption of tor2 in the network-demo topology.,Monitoring
Monitor the interface error rates for router1 within the network-demo deployment.,Monitoring
Monitor the bandwidth for client1 within the cluster1 deployment.,Monitoring
Monitor the CPU usage for host2 within the evpn-lab deployment.,Monitoring
Report the memory consumption of leaf1 in the campus-lab topology.,Monitoring
Check the CPU usage on client1 in cluster1.,Monitoring
Report the connection status of host1 in the campus-lab topology.,Monitoring
Observe the disk utilization of firewall1 in the bgp-lab lab and share the values.,Monitoring
Observe the CPU usage of spine1 in the bgp-lab lab and share the values.,Monitoring
Provide the latest bandwidth readings for vm1 in clab-topo.,Monitoring
Provide the latest throughput readings for host2 in fullmesh.,Monitoring
What is the current GPU utilization on server1 in our containerlab setup?,Monitoring
Provide the latest network latency readings for server1 in bgp-lab.,Monitoring
Provide the latest throughput readings for server2 in datacenter-lab.,Monitoring
Report the throughput of edge1 in the bgp-lab topology.,Monitoring
Report the bandwidth of router1 in the cxl-lab topology.,Monitoring
Observe the memory consumption of router2 in the lab2 lab and share the values.,Monitoring
What is the current throughput on vm1 in our containerlab setup?,Monitoring
What is the current connection status on leaf1 in our containerlab setup?,Monitoring
Provide the latest CPU usage readings for vm2 in clab-topo.,Monitoring
Observe the bandwidth of spine1 in the star-topo lab and share the values.,Monitoring
Provide the latest network latency readings for edge1 in bgp-lab.,Monitoring
Provide the latest CPU usage readings for router2 in star-topo.,Monitoring
Monitor the throughput for host2 within the ospf-lab deployment.,Monitoring
Monitor the jitter for leaf1 within the star-topo deployment.,Monitoring
Check the CPU usage on leaf1 in network-demo.,Monitoring
Provide the latest bandwidth readings for server1 in lab2.,Monitoring
What is the current connection status on server1 in our containerlab setup?,Monitoring
Provide the latest GPU utilization readings for edge1 in lab2.,Monitoring
Provide the latest CPU usage readings for switch1 in lab1.,Monitoring
Provide the latest jitter readings for spine1 in network-demo.,Monitoring
Report the interface error rates of server1 in the star-topo topology.,Monitoring
Check the jitter on switch1 in topo1.,Monitoring
Check the temperature on edge1 in topo1.,Monitoring
Check the packet loss on firewall1 in bgp-lab.,Monitoring
Check the bandwidth on vm1 in ring-topology.,Monitoring
Provide the latest GPU utilization readings for host2 in clab-topo.,Monitoring
Monitor the network latency for vm1 within the topo1 deployment.,Monitoring
Report the throughput of switch2 in the ospf-lab topology.,Monitoring
Check the jitter on router2 in ospf-lab.,Monitoring
Observe the temperature of switch2 in the bgp-lab lab and share the values.,Monitoring
Report the temperature of tor1 in the ospf-lab topology.,Monitoring
Provide the latest bandwidth readings for client2 in spineleaf.,Monitoring
Provide the latest throughput readings for switch1 in testlab.,Monitoring
Report the CPU usage of spine1 in the campus-lab topology.,Monitoring
Report the network latency of edge1 in the leafspine topology.,Monitoring
Check the packet loss on host2 in network-demo.,Monitoring
Monitor the packet loss for core1 within the clab-topo deployment.,Monitoring
Provide the latest GPU utilization readings for client1 in mgmt-lab.,Monitoring
Check the network latency on tor2 in clab-topo.,Monitoring
Report the jitter of leaf1 in the lab2 topology.,Monitoring
Provide the latest GPU utilization readings for edge1 in topo1.,Monitoring
Check the bandwidth on server1 in topo1.,Monitoring
